logt,num,J,J-H
6.8,88,-10.136000000000001,0.636
6.8,89,-10.14,0.6579999999999999
6.8,90,-10.157,0.677
6.8,91,-10.193999999999999,0.6940000000000001
6.8,92,-10.238999999999999,0.7070000000000001
6.8,93,-10.285,0.713
6.8,94,-10.327,0.7240000000000001
6.8,95,-10.355,0.737
6.85,0,9.187000000000001,0.6990000000000001
6.85,1,8.601,0.726
6.85,2,8.192,0.755
6.85,3,7.869,0.787
6.85,4,7.582999999999999,0.82
6.85,5,7.257999999999999,0.825
6.85,6,6.962000000000001,0.78
6.85,7,6.68,0.727
6.85,8,6.098,0.7140000000000001
6.85,9,5.518,0.672
6.85,10,4.948,0.5660000000000001
6.85,11,4.4719999999999995,0.447
6.85,12,4.061,0.36200000000000004
6.85,13,3.6719999999999997,0.314
6.85,14,3.2489999999999997,0.259
6.85,15,2.918,0.214
6.85,16,2.645,0.185
6.85,17,2.432,0.14300000000000002
6.85,18,2.259,0.102
6.85,19,2.1069999999999998,0.057999999999999996
6.85,20,1.995,0.033
6.85,21,1.889,0.018000000000000002
6.85,22,1.8359999999999999,0.01
6.85,23,1.746,0.006999999999999999
6.85,24,1.5819999999999999,-0.01
6.85,25,1.32,-0.03
6.85,26,1.09,-0.034
6.85,27,0.943,-0.04
6.85,28,0.617,-0.049
6.85,29,0.33899999999999997,-0.062
6.85,30,0.11199999999999999,-0.061
6.85,31,-0.111,-0.068
6.85,32,-0.508,-0.077
6.85,33,-0.857,-0.086
6.85,34,-1.011,-0.086
6.85,35,-1.507,-0.1
6.85,36,-1.6440000000000001,-0.1
6.85,37,-2.3040000000000003,-0.115
6.85,38,-2.585,-0.11900000000000001
6.85,39,-3.025,-0.11900000000000001
6.85,40,-3.24,-0.12
6.85,41,-3.855,-0.11900000000000001
6.85,42,-4.3,-0.11699999999999999
6.85,43,-4.365,-0.115
6.85,44,-5.151,-0.098
6.85,45,-5.622999999999999,-0.09
6.85,46,-5.979,-0.08
6.85,47,-5.961,-0.08
6.85,48,-5.831,-0.08800000000000001
6.85,49,-5.755,-0.09
6.85,50,-5.712000000000001,-0.09
6.85,51,-5.898,-0.087
6.85,52,-6.087999999999999,-0.08
6.85,53,-6.271,-0.079
6.85,54,-6.4510000000000005,-0.073
6.85,55,-6.649,-0.061
6.85,56,-6.867000000000001,-0.05
6.85,57,-7.104,-0.04
6.85,58,-7.316,-0.039
6.85,59,-7.581,-0.026000000000000002
6.85,60,-7.767,-0.02
6.85,61,-7.95,-0.009000000000000001
6.85,62,-8.106,0.008
6.85,63,-8.209,0.01
6.85,64,-8.288,0.017
6.85,65,-8.404,0.034
6.85,66,-8.507,0.047
6.85,67,-8.61,0.051
6.85,68,-8.711,0.066
6.85,69,-8.789,0.08199999999999999
6.85,70,-8.863999999999999,0.096
6.85,71,-8.935,0.11199999999999999
6.85,72,-8.993,0.124
6.85,73,-9.105,0.154
6.85,74,-9.177999999999999,0.175
6.85,75,-9.252,0.201
6.85,76,-9.335,0.225
6.85,77,-9.414,0.256
6.85,78,-9.495,0.294
6.85,79,-9.568999999999999,0.331
6.85,80,-9.638,0.375
6.85,81,-9.668,0.41200000000000003
6.85,82,-9.691,0.449
6.85,83,-9.711,0.48200000000000004
6.85,84,-9.73,0.514
6.85,85,-9.744,0.5429999999999999
6.85,86,-9.754,0.5720000000000001
6.85,87,-9.757,0.605
6.85,88,-9.756,0.637
6.85,89,-9.763,0.6809999999999999
6.85,90,-9.791,0.726
6.85,91,-9.863999999999999,0.762
6.85,92,-9.953,0.785
6.85,93,-10.049,0.795
6.85,94,-10.131,0.813
6.85,95,-10.166,0.825
6.9,0,9.187000000000001,0.6990000000000001
6.9,1,8.601,0.726
6.9,2,8.192,0.755
6.9,3,7.869,0.787
6.9,4,7.582999999999999,0.82
6.9,5,7.257999999999999,0.825
6.9,6,6.962000000000001,0.78
6.9,7,6.68,0.727
6.9,8,6.098,0.7140000000000001
6.9,9,5.518,0.672
6.9,10,4.948,0.5660000000000001
6.9,11,4.4719999999999995,0.447
6.9,12,4.06,0.36200000000000004
6.9,13,3.6719999999999997,0.314
6.9,14,3.2489999999999997,0.26
6.9,15,2.918,0.214
6.9,16,2.645,0.185
6.9,17,2.432,0.14300000000000002
6.9,18,2.259,0.10300000000000001
6.9,19,2.108,0.057999999999999996
6.9,20,1.995,0.033
6.9,21,1.8880000000000001,0.017
6.9,22,1.8359999999999999,0.01
6.9,23,1.7480000000000002,0.006999999999999999
6.9,24,1.5819999999999999,-0.009000000000000001
6.9,25,1.319,-0.03
6.9,26,1.181,-0.032
6.9,27,0.941,-0.039
6.9,28,0.614,-0.049
6.9,29,0.33399999999999996,-0.062
6.9,30,0.106,-0.061
6.9,31,-0.11900000000000001,-0.068
6.9,32,-0.52,-0.076
6.9,33,-0.875,-0.086
6.9,34,-0.899,-0.086
6.9,35,-1.536,-0.1
6.9,36,-2.364,-0.114
6.9,37,-2.431,-0.11599999999999999
6.9,38,-3.117,-0.12
6.9,39,-3.157,-0.12
6.9,40,-3.668,-0.11900000000000001
6.9,41,-4.239,-0.11
6.9,42,-4.861000000000001,-0.1
6.9,43,-5.276,-0.09
6.9,44,-5.557,-0.084
6.9,45,-5.56,-0.084
6.9,46,-5.4510000000000005,-0.09
6.9,47,-5.369,-0.091
6.9,48,-5.332999999999999,-0.095
6.9,49,-5.447,-0.09
6.9,50,-5.571000000000001,-0.09
6.9,51,-5.691,-0.083
6.9,52,-5.852,-0.08
6.9,53,-6.01,-0.079
6.9,54,-6.162000000000001,-0.07400000000000001
6.9,55,-6.31,-0.066
6.9,56,-6.45,-0.057999999999999996
6.9,57,-6.629,-0.049
6.9,58,-6.778,-0.043
6.9,59,-6.925,-0.04
6.9,60,-7.069,-0.038
6.9,61,-7.172000000000001,-0.03
6.9,62,-7.279,-0.028999999999999998
6.9,63,-7.404,-0.02
6.9,64,-7.523,-0.019
6.9,65,-7.657,-0.009000000000000001
6.9,66,-7.782,0.0
6.9,67,-7.877000000000001,0.01
6.9,68,-7.972,0.01
6.9,69,-8.079,0.021
6.9,70,-8.158999999999999,0.032
6.9,71,-8.312999999999999,0.047
6.9,72,-8.413,0.055
6.9,73,-8.526,0.077
6.9,74,-8.639,0.10400000000000001
6.9,75,-8.754,0.13
6.9,76,-8.892000000000001,0.174
6.9,77,-9.032,0.225
6.9,78,-9.155,0.287
6.9,79,-9.211,0.322
6.9,80,-9.256,0.365
6.9,81,-9.287,0.41100000000000003
6.9,82,-9.322000000000001,0.455
6.9,83,-9.354,0.498
6.9,84,-9.367,0.544
6.9,85,-9.376,0.591
6.9,86,-9.374,0.64
6.9,87,-9.381,0.71
6.9,88,-9.422,0.779
6.9,89,-9.535,0.8270000000000001
6.9,90,-9.667,0.8590000000000001
6.9,91,-9.812000000000001,0.872
6.9,92,-9.934,0.8959999999999999
6.9,93,-9.976,0.9079999999999999
6.95,0,9.187000000000001,0.6990000000000001
6.95,1,8.601,0.726
6.95,2,8.192,0.755
6.95,3,7.869,0.787
6.95,4,7.582999999999999,0.82
6.95,5,7.257999999999999,0.825
6.95,6,6.962000000000001,0.78
6.95,7,6.68,0.727
6.95,8,6.098,0.7140000000000001
6.95,9,5.518,0.672
6.95,10,4.948,0.5660000000000001
6.95,11,4.471,0.446
6.95,12,4.06,0.36200000000000004
6.95,13,3.6710000000000003,0.314
6.95,14,3.2489999999999997,0.26
6.95,15,2.918,0.214
6.95,16,2.645,0.185
6.95,17,2.432,0.14300000000000002
6.95,18,2.258,0.102
6.95,19,2.108,0.057999999999999996
6.95,20,1.996,0.034
6.95,21,1.8880000000000001,0.018000000000000002
6.95,22,1.835,0.01
6.95,23,1.751,0.006999999999999999
6.95,24,1.581,-0.01
6.95,25,1.319,-0.028999999999999998
6.95,26,1.274,-0.03
6.95,27,0.938,-0.04
6.95,28,0.61,-0.049
6.95,29,0.32899999999999996,-0.062
6.95,30,0.099,-0.061
6.95,31,-0.129,-0.069
6.95,32,-0.534,-0.076
6.95,33,-0.77,-0.084
