#r,Jmag,J_H
5.58798,16.785,0.539999
5.1279,15.512,0.7410002
5.9766,16.299,0.89799976
5.17992,14.99,0.75
5.2504800000000005,16.279,1.1149998
5.388179999999999,16.63,0.45599937
4.81026,12.886,0.91499996
5.70252,14.705,0.43499947
4.7763599999999995,15.847,0.34700012
4.33518,13.721,0.3619995
4.03128,16.786,0.7419987
4.5789599999999995,14.976,0.658
4.09752,15.682,0.776
4.67412,12.788,0.9180002
4.041720000000001,16.674,0.9279995
4.4807999999999995,11.887,0.72700024
4.7421,15.014,0.49199963
4.6096200000000005,15.654,0.39000034
5.40018,17.268,1.4399996
4.3991999999999996,15.459,0.4119997
4.635420000000001,15.092,0.5959997
4.54848,13.381,0.9559994
6.5283,16.765,0.8319998
4.8999,15.82,0.7539997
5.07132,15.098,0.6339998
5.28276,12.101,0.47499943
5.6119200000000005,15.717,0.54100037
5.13576,17.095,1.0629997
6.5044200000000005,16.558,0.6920004
5.10618,14.85,0.62900066
6.6165,16.266,0.7390003
5.63484,15.448,0.9659996
6.3318,14.111,0.38300037
6.10716,15.574,0.53600025
4.78794,13.359,0.88199997
3.86292,12.096,0.2539997
3.80334,15.243,0.6870003
4.1001,15.685,0.62900066
2.8986,15.153,0.6949997
3.82056,16.491,0.9189997
2.80674,15.954,0.7310009
2.9663999999999997,16.15,0.33099937
3.14958,16.042,0.7649994
2.37576,15.51,0.67199993
3.2993400000000004,16.278,0.8959999
4.18278,15.074,0.5510006
2.47542,15.925,0.5810003
3.45402,15.294,0.8849993
2.39202,16.374,0.8170004
3.71022,15.989,0.4949999
2.24292,15.487,0.48900032
3.1923000000000004,16.674,0.66200066
3.6453599999999997,15.651,0.72000027
2.9761800000000003,11.936,0.48799992
4.44684,13.451,1.0679998
4.05168,12.191,0.2880001
3.62166,13.316,1.0159998
4.89642,14.075,0.38199997
3.6472800000000003,16.615,0.7399998
4.080959999999999,11.866,0.776
4.07664,15.863,0.69400024
3.22092,15.84,0.53100014
3.3831599999999997,16.426,0.5600004
3.44796,16.889,0.8619995
3.39378,14.79,0.53899956
4.05822,14.55,0.6409998
3.6145799999999997,15.802,0.6850004
4.59924,16.617,0.72800064
4.87644,14.318,0.63899994
4.13958,11.065,1.3249998
4.24116,16.156,1.04
4.4149199999999995,15.928,0.6640005
4.652100000000001,15.036,0.6550007
5.36166,15.013,0.48099995
5.66514,16.734,0.6879997
5.37582,14.836,0.5550003
5.45196,16.554,0.8510008
5.7783,16.302,0.36600018
5.5149,17.065,0.76200104
5.9649600000000005,16.678,0.65600014
5.68362,14.894,0.4449997
5.67354,16.628,0.052000046
5.87298,14.812,0.51100063
5.03802,16.515,1.0039997
4.92636,13.309,0.5649996
5.00052,14.682,-1.1479998
5.5143,15.693,0.39299965
5.32716,14.501,0.43300056
3.4425600000000003,16.09,0.6999998
4.11438,12.544,0.42599964
3.61944,16.33,0.7959995
2.03586,16.716,0.9549999
4.23894,16.362,0.6489992
2.2959,15.049,0.65999985
4.436400000000001,16.102,0.4649992
4.36056,14.82,0.55599976
2.66094,16.133,0.69099903
3.40074,16.581,0.730999
2.12814,15.348,0.6189995
1.731,13.544,0.6349993
1.92156,16.04,0.7410011
2.7972,16.53,0.8180008
2.9016,16.345,0.8109989
3.53892,16.109,0.49499893
2.7292199999999998,16.391,0.80900097
2.46132,16.352,0.63699913
3.13842,15.852,0.4289999
3.3480000000000003,15.876,0.89100075
4.1346,16.108,0.6169996
2.25984,16.273,0.4970007
1.5450599999999999,16.853,0.6270008
3.26946,16.056,0.6239996
1.5805200000000001,16.753,0.76399994
3.7537799999999995,16.376,1.0019999
5.128439999999999,15.864,0.8590002
4.50024,16.166,0.842
2.93406,15.173,0.7510004
1.92792,16.109,0.69199944
3.56628,16.293,0.9159994
4.02396,16.732,0.73200035
1.76928,15.502,0.8899994
2.5674,15.577,0.49399948
3.61152,16.749,1.0550003
3.696,16.229,0.56799984
3.8949,14.518,0.6539993
2.81406,14.967,0.73099995
4.38336,15.772,0.53700066
3.4975799999999997,15.076,0.5810003
4.6977,16.446,0.8309994
4.3261199999999995,12.767,1.033
2.07096,16.877,0.7840004
3.7287,16.761,0.9159994
4.46814,15.474,0.54100037
5.08374,15.676,0.46899986
4.7047799999999995,15.906,0.31599998
4.78644,16.473,0.82599926
5.155740000000001,15.048,0.40299988
5.269139999999999,16.29,0.8770008
4.84146,12.592,0.45800018
4.0188,16.087,0.5290003
4.64856,14.776,0.64900017
5.16606,15.085,0.96000004
2.83374,16.616,0.6779995
3.5636400000000004,13.822,0.9989996
4.69074,14.336,0.5800009
2.6261400000000004,17.276,1.5409994
2.67654,16.142,0.8660002
3.8611799999999996,16.753,0.77400017
3.79434,16.02,0.9790001
3.57654,16.673,0.16500092
3.6372,16.268,0.56699944
1.9857,16.71,1.0429993
3.25194,16.303,1.0689993
2.8385399999999996,14.718,0.6500006
4.84596,15.005,0.8369999
2.12574,17.045,1.1890001
4.5678,14.965,0.65600014
2.47452,12.849,0.38199997
4.4008199999999995,12.131,0.88199997
2.52018,15.74,0.658
2.78514,15.336,0.7770004
4.54188,15.268,0.47099972
4.8186599999999995,11.922,0.85700035
3.66966,16.846,1.0410004
2.88204,16.393,0.9559994
4.7265,15.319,0.36900043
2.32698,15.016,0.724
4.49184,16.79,0.9310007
4.57062,15.372,0.9619999
4.575480000000001,14.455,0.6239996
4.9642800000000005,16.202,0.48499966
4.9643999999999995,16.279,1.1079998
5.18382,15.15,0.6939993
4.811940000000001,14.191,0.72599983
5.13438,16.752,1.0340004
4.69242,17.077,1.25
2.95716,14.023,0.62699986
4.06248,14.689,0.7220001
2.0154,13.022,0.34700012
2.61978,14.982,0.6300001
4.86114,16.477,0.8329992
4.18938,15.387,0.74400043
4.998,15.329,0.76500034
2.54982,15.451,0.60300064
4.04454,16.176,0.5880003
3.7218,15.869,0.5840006
3.31956,16.309,1.1750002
3.41178,14.84,0.7300005
4.27002,16.61,0.5869999
4.87902,14.975,0.5130005
4.46466,16.116,0.5579996
4.1625000000000005,9.707,0.27400017
3.39948,16.649,1.0840006
3.46368,14.888,1.6459999
3.70944,16.691,0.77999973
3.9128999999999996,15.661,0.55800056
3.24834,13.71,0.59000015
4.31262,14.505,0.9879999
4.78404,14.815,0.5089998
3.72084,13.812,1.0690002
4.34304,14.573,0.65600014
5.63934,16.522,1.1479998
